Region,Country,State,City,Month,Day,Year,Temperature,Fahrenheit 
Asia,India,,Bombay (Mumbai),1,1,1995,22.11111111,71.8
Asia,India,,Bombay (Mumbai),1,2,1995,22.22222222,72
Asia,India,,Bombay (Mumbai),1,3,1995,21.27777778,70.3
Asia,India,,Bombay (Mumbai),1,4,1995,20.94444444,69.7
Asia,India,,Bombay (Mumbai),1,5,1995,21.83333333,71.3
Asia,India,,Bombay (Mumbai),1,6,1995,23.27777778,73.9
Asia,India,,Bombay (Mumbai),1,7,1995,22.72222222,72.9
Asia,India,,Bombay (Mumbai),1,8,1995,21.22222222,70.2
Asia,India,,Bombay (Mumbai),1,9,1995,20.22222222,68.4
Asia,India,,Bombay (Mumbai),1,10,1995,20,68
Asia,India,,Bombay (Mumbai),1,11,1995,21.05555556,69.9
Asia,India,,Bombay (Mumbai),1,12,1995,21,69.8
Asia,India,,Bombay (Mumbai),1,13,1995,21.66666667,71
Asia,India,,Bombay (Mumbai),1,14,1995,23.27777778,73.9
Asia,India,,Bombay (Mumbai),1,15,1995,23,73.4
Asia,India,,Bombay (Mumbai),1,16,1995,21.33333333,70.4
Asia,India,,Bombay (Mumbai),1,17,1995,23.83333333,74.9
Asia,India,,Bombay (Mumbai),1,18,1995,23.61111111,74.5
Asia,India,,Bombay (Mumbai),1,19,1995,22.77777778,73
Asia,India,,Bombay (Mumbai),1,20,1995,22.16666667,71.9
Asia,India,,Bombay (Mumbai),1,21,1995,21.83333333,71.3
Asia,India,,Bombay (Mumbai),1,22,1995,22.94444444,73.3
Asia,India,,Bombay (Mumbai),1,23,1995,21.88888889,71.4
Asia,India,,Bombay (Mumbai),1,24,1995,21.83333333,71.3
Asia,India,,Bombay (Mumbai),1,25,1995,21.22222222,70.2
Asia,India,,Bombay (Mumbai),1,26,1995,22.77777778,73
Asia,India,,Bombay (Mumbai),1,27,1995,23.22222222,73.8
Asia,India,,Bombay (Mumbai),1,28,1995,25.27777778,77.5
Asia,India,,Bombay (Mumbai),1,29,1995,24.88888889,76.8
Asia,India,,Bombay (Mumbai),1,30,1995,24.5,76.1
Asia,India,,Bombay (Mumbai),1,31,1995,25.72222222,78.3
Asia,India,,Bombay (Mumbai),2,1,1995,26.05555556,78.9
Asia,India,,Bombay (Mumbai),2,2,1995,25.72222222,78.3
Asia,India,,Bombay (Mumbai),2,3,1995,22.94444444,73.3
Asia,India,,Bombay (Mumbai),2,4,1995,23.72222222,74.7
Asia,India,,Bombay (Mumbai),2,5,1995,25.16666667,77.3
Asia,India,,Bombay (Mumbai),2,6,1995,26.77777778,80.2
Asia,India,,Bombay (Mumbai),2,7,1995,28.44444444,83.2
Asia,India,,Bombay (Mumbai),2,8,1995,27.22222222,81
Asia,India,,Bombay (Mumbai),2,9,1995,26,78.8
Asia,India,,Bombay (Mumbai),2,10,1995,25.44444444,77.8
Asia,India,,Bombay (Mumbai),2,11,1995,24.88888889,76.8
Asia,India,,Bombay (Mumbai),2,12,1995,24.38888889,75.9
Asia,India,,Bombay (Mumbai),2,13,1995,24.27777778,75.7
Asia,India,,Bombay (Mumbai),2,14,1995,23.38888889,74.1
Asia,India,,Bombay (Mumbai),2,15,1995,23,73.4
Asia,India,,Bombay (Mumbai),2,16,1995,23.61111111,74.5
Asia,India,,Bombay (Mumbai),2,17,1995,24.05555556,75.3
Asia,India,,Bombay (Mumbai),2,18,1995,22.38888889,72.3
Asia,India,,Bombay (Mumbai),2,19,1995,22.83333333,73.1
Asia,India,,Bombay (Mumbai),2,20,1995,24.94444444,76.9
Asia,India,,Bombay (Mumbai),2,21,1995,25.5,77.9
Asia,India,,Bombay (Mumbai),2,22,1995,23.66666667,74.6
Asia,India,,Bombay (Mumbai),2,23,1995,24.55555556,76.2
Asia,India,,Bombay (Mumbai),2,24,1995,22.38888889,72.3
Asia,India,,Bombay (Mumbai),2,25,1995,24.5,76.1
Asia,India,,Bombay (Mumbai),2,26,1995,24.55555556,76.2
Asia,India,,Bombay (Mumbai),2,27,1995,24.05555556,75.3
Asia,India,,Bombay (Mumbai),2,28,1995,23.27777778,73.9
Asia,India,,Bombay (Mumbai),3,1,1995,23.44444444,74.2
Asia,India,,Bombay (Mumbai),3,2,1995,25.05555556,77.1
Asia,India,,Bombay (Mumbai),3,3,1995,26.44444444,79.6
Asia,India,,Bombay (Mumbai),3,4,1995,26,78.8
Asia,India,,Bombay (Mumbai),3,5,1995,25.94444444,78.7
Asia,India,,Bombay (Mumbai),3,6,1995,25.27777778,77.5
Asia,India,,Bombay (Mumbai),3,7,1995,25,77
Asia,India,,Bombay (Mumbai),3,8,1995,24.72222222,76.5
Asia,India,,Bombay (Mumbai),3,9,1995,24.44444444,76
Asia,India,,Bombay (Mumbai),3,10,1995,25.55555556,78
Asia,India,,Bombay (Mumbai),3,11,1995,25.61111111,78.1
Asia,India,,Bombay (Mumbai),3,12,1995,27.33333333,81.2
Asia,India,,Bombay (Mumbai),3,13,1995,26,78.8
Asia,India,,Bombay (Mumbai),3,14,1995,26.55555556,79.8
Asia,India,,Bombay (Mumbai),3,15,1995,26.61111111,79.9
Asia,India,,Bombay (Mumbai),3,16,1995,27.05555556,80.7
Asia,India,,Bombay (Mumbai),3,17,1995,25.94444444,78.7
Asia,India,,Bombay (Mumbai),3,18,1995,25.33333333,77.6
Asia,India,,Bombay (Mumbai),3,19,1995,26.22222222,79.2
Asia,India,,Bombay (Mumbai),3,20,1995,27.22222222,81
Asia,India,,Bombay (Mumbai),3,21,1995,30.27777778,86.5
Asia,India,,Bombay (Mumbai),3,22,1995,29.61111111,85.3
Asia,India,,Bombay (Mumbai),3,23,1995,28.72222222,83.7
Asia,India,,Bombay (Mumbai),3,24,1995,27.83333333,82.1
Asia,India,,Bombay (Mumbai),3,25,1995,27.11111111,80.8
Asia,India,,Bombay (Mumbai),3,26,1995,26,78.8
Asia,India,,Bombay (Mumbai),3,27,1995,25.77777778,78.4
Asia,India,,Bombay (Mumbai),3,28,1995,25.55555556,78
Asia,India,,Bombay (Mumbai),3,29,1995,-72.77777778,-99
Asia,India,,Bombay (Mumbai),3,30,1995,27,80.6
Asia,India,,Bombay (Mumbai),3,31,1995,26.22222222,79.2
Asia,India,,Bombay (Mumbai),4,1,1995,25.5,77.9
Asia,India,,Bombay (Mumbai),4,2,1995,26.66666667,80
Asia,India,,Bombay (Mumbai),4,3,1995,29,84.2
Asia,India,,Bombay (Mumbai),4,4,1995,29,84.2
Asia,India,,Bombay (Mumbai),4,5,1995,28.27777778,82.9
Asia,India,,Bombay (Mumbai),4,6,1995,27.5,81.5
Asia,India,,Bombay (Mumbai),4,7,1995,26.83333333,80.3
Asia,India,,Bombay (Mumbai),4,8,1995,26.88888889,80.4
Asia,India,,Bombay (Mumbai),4,9,1995,27.83333333,82.1
Asia,India,,Bombay (Mumbai),4,10,1995,28.5,83.3
Asia,India,,Bombay (Mumbai),4,11,1995,30.05555556,86.1
Asia,India,,Bombay (Mumbai),4,12,1995,28.66666667,83.6
Asia,India,,Bombay (Mumbai),4,13,1995,28.22222222,82.8
Asia,India,,Bombay (Mumbai),4,14,1995,27.16666667,80.9
Asia,India,,Bombay (Mumbai),4,15,1995,27.16666667,80.9
Asia,India,,Bombay (Mumbai),4,16,1995,27.55555556,81.6
